method,entity_type,site,probe,layer,test_r2,test_spearman,train_r2,is_best
qwen3_1b7,headline,last,ridge,1,0.3584222997761837,0.6096009958669548,0.42841306909703325,False
qwen3_1b7,headline,last,ridge,2,0.38729526211563914,0.6323286421875632,0.45711010430452337,False
qwen3_1b7,headline,last,ridge,3,0.39492355388636524,0.6386399612400109,0.4743300671931314,False
qwen3_1b7,headline,last,ridge,4,0.40506797331106326,0.6451829090941553,0.47853319138488004,False
qwen3_1b7,headline,last,ridge,5,0.4138535491580486,0.6508416006560803,0.48535801665365585,False
qwen3_1b7,headline,last,ridge,6,0.41719520517283126,0.6545984275407143,0.4755728896937793,False
qwen3_1b7,headline,last,ridge,7,0.4251577738877962,0.6618679053110934,0.48994567751342044,False
qwen3_1b7,headline,last,ridge,8,0.44339846899625535,0.675720783707127,0.4995919939353185,False
qwen3_1b7,headline,last,ridge,9,0.44575627481389546,0.6777788103754757,0.5043349219819935,False
qwen3_1b7,headline,last,ridge,10,0.4626997925860512,0.6876234385748051,0.5121135242291142,False
qwen3_1b7,headline,last,ridge,11,0.45451484574424295,0.6810813297451509,0.5158873011733714,False
qwen3_1b7,headline,last,ridge,12,0.449294772812172,0.6771528581700252,0.4970860983841837,False
qwen3_1b7,headline,last,ridge,13,0.4442524998555809,0.6737014958318148,0.49779684980643313,False
qwen3_1b7,headline,last,ridge,14,0.44033217072596365,0.6713173593421286,0.4982433425182492,False
qwen3_1b7,headline,last,ridge,15,0.44038202740130017,0.6719016761031035,0.49895326940247586,False
qwen3_1b7,headline,last,ridge,16,0.43932159997254494,0.6715446845413289,0.48643814244864036,False
qwen3_1b7,headline,last,ridge,17,0.43997869083046437,0.6719295906303945,0.490804352824768,False
qwen3_1b7,headline,last,ridge,18,0.44106649784389274,0.6729950599224321,0.5031598834551971,False
qwen3_1b7,headline,last,ridge,19,0.45270667750212534,0.6822130987398001,0.4951772132875806,False
qwen3_1b7,headline,last,ridge,20,0.4575800852152899,0.6854609603147201,0.5063720681102197,False
qwen3_1b7,headline,last,ridge,21,0.4711850138552762,0.6942263032021857,0.5257954837921235,False
qwen3_1b7,headline,last,ridge,22,0.47615828256403037,0.6973213063456339,0.5350051226732794,True
qwen3_1b7,headline,last,ridge,23,0.47583671063709154,0.6976668178818175,0.5383019578145103,False
qwen3_1b7,headline,last,ridge,24,0.47456929568806305,0.6969780259830045,0.5413749877130984,False
qwen3_1b7,headline,last,ridge,25,0.4730988773449696,0.6959938847099554,0.5452313765630339,False
qwen3_1b7,headline,last,ridge,26,0.4723306325093555,0.6956928371233592,0.5468983225071095,False
qwen3_1b7,headline,last,ridge,27,0.4649564129808561,0.6905333756737485,0.5475407463450469,False
qwen3_1b7,headline,last,ridge,28,0.47497906236477283,0.6949810345943672,0.5182438649875956,False
qwen3_1b7,art,last,ridge,1,0.11535905841212313,0.3211198019527463,0.18230370573017807,False
qwen3_1b7,art,last,ridge,2,0.13562584743574346,0.35503840402662,0.22085746055416544,False
qwen3_1b7,art,last,ridge,3,0.12592297582155532,0.3394437920466267,0.2046497597849105,False
qwen3_1b7,art,last,ridge,4,0.12980058512186932,0.3517122781719796,0.2217493242712928,False
qwen3_1b7,art,last,ridge,5,0.1396412793178563,0.3624485077124308,0.20616925066515268,False
qwen3_1b7,art,last,ridge,6,0.16008890284947763,0.39275804332632475,0.23948211704443978,False
qwen3_1b7,art,last,ridge,7,0.21836935628872411,0.4507305312110559,0.29366131236183635,False
qwen3_1b7,art,last,ridge,8,0.26670233502238627,0.49953560090011007,0.33786238576754857,False
qwen3_1b7,art,last,ridge,9,0.3494916863762856,0.5587244684782229,0.4063813522839027,False
qwen3_1b7,art,last,ridge,10,0.41712335727955097,0.6072959028132918,0.4706018804016613,False
qwen3_1b7,art,last,ridge,11,0.4208380377406419,0.6127468691917222,0.480523915215299,False
qwen3_1b7,art,last,ridge,12,0.4189147957009822,0.6123567323892738,0.48087076856290956,False
qwen3_1b7,art,last,ridge,13,0.4177424733606607,0.6103999446202244,0.4796733807230823,False
qwen3_1b7,art,last,ridge,14,0.42314709458827426,0.6117042881177344,0.46903920541549826,False
qwen3_1b7,art,last,ridge,15,0.42203146832459804,0.6090039516142902,0.4701153570524188,False
qwen3_1b7,art,last,ridge,16,0.42986000135529834,0.6141256545453726,0.48108679939830956,False
qwen3_1b7,art,last,ridge,17,0.428022262817087,0.6114610165499655,0.48689165308788696,False
qwen3_1b7,art,last,ridge,18,0.42829364429509575,0.6126051185286806,0.48489387145430596,False
qwen3_1b7,art,last,ridge,19,0.4417974694053325,0.626398113157336,0.5099123814762277,False
qwen3_1b7,art,last,ridge,20,0.4353491736006504,0.6207363311820603,0.5074903051402588,False
qwen3_1b7,art,last,ridge,21,0.44381279545293906,0.6288245672048176,0.5267586270185645,False
qwen3_1b7,art,last,ridge,22,0.4352488723654546,0.6219593096365653,0.5237703155883638,False
qwen3_1b7,art,last,ridge,23,0.4301971215949242,0.6194809909489275,0.5213451447517135,False
qwen3_1b7,art,last,ridge,24,0.42511972601163284,0.6166079508936471,0.5194738541884345,False
qwen3_1b7,art,last,ridge,25,0.42825400687221205,0.6220977968994746,0.5235251399029761,False
qwen3_1b7,art,last,ridge,26,0.42516476796671376,0.6164021460711782,0.5232015824431036,False
qwen3_1b7,art,last,ridge,27,0.4198377421036179,0.6142015320319051,0.5237552808672001,False
qwen3_1b7,art,last,ridge,28,0.4487005309791998,0.6334057903833132,0.4899970825519311,True
qwen3_1b7,us_place,last,ridge,1,0.1426125057637515,0.2897948625090335,0.2159854116512664,False
qwen3_1b7,us_place,last,ridge,2,0.3176955432240947,0.4501064273877177,0.38019387252960524,False
qwen3_1b7,us_place,last,ridge,3,0.32958226232866644,0.47249284826577503,0.41527066105557875,False
qwen3_1b7,us_place,last,ridge,4,0.36344216614893116,0.5129170929977543,0.43484586632588396,False
qwen3_1b7,us_place,last,ridge,5,0.4026560039017224,0.5368261769302742,0.471782967531485,False
qwen3_1b7,us_place,last,ridge,6,0.4199599374389212,0.5586401238186981,0.4598786477515703,False
qwen3_1b7,us_place,last,ridge,7,0.4190601425665646,0.5566220928861093,0.4616689338361034,False
qwen3_1b7,us_place,last,ridge,8,0.4228284697957238,0.5623999293686105,0.4696805799420343,False
qwen3_1b7,us_place,last,ridge,9,0.427568569609068,0.5657717026059323,0.4802265475107112,False
qwen3_1b7,us_place,last,ridge,10,0.41924617844262724,0.5487487906313021,0.4744473292985415,False
qwen3_1b7,us_place,last,ridge,11,0.4282308911269519,0.55090441684148,0.4837963209278169,False
qwen3_1b7,us_place,last,ridge,12,0.43168343843117557,0.5577457494861289,0.48569520994207593,False
qwen3_1b7,us_place,last,ridge,13,0.4277679834537877,0.5552188977142214,0.48355621093191536,False
qwen3_1b7,us_place,last,ridge,14,0.42551462943071217,0.5528174790100132,0.48561898208846555,False
qwen3_1b7,us_place,last,ridge,15,0.4267504962492347,0.5490014079816775,0.4904853844940398,False
qwen3_1b7,us_place,last,ridge,16,0.42514157955471527,0.546262132438592,0.49454031747809435,False
qwen3_1b7,us_place,last,ridge,17,0.4207698740747152,0.5364277390665233,0.47470095192637596,False
qwen3_1b7,us_place,last,ridge,18,0.42813739662394706,0.5411431223254101,0.4902057234500152,False
qwen3_1b7,us_place,last,ridge,19,0.4378728139830852,0.5538882480997331,0.5024924364936608,False
qwen3_1b7,us_place,last,ridge,20,0.44315938600446825,0.5670959635725924,0.49576569722614366,False
qwen3_1b7,us_place,last,ridge,21,0.4502464250268794,0.5828397423484778,0.5197068987247015,True
qwen3_1b7,us_place,last,ridge,22,0.4320025855244092,0.5748735209406677,0.5177097355540022,False
qwen3_1b7,us_place,last,ridge,23,0.4172621217464816,0.5744070870110947,0.5271468566630129,False
qwen3_1b7,us_place,last,ridge,24,0.41369128020734136,0.5636299643064939,0.5283009772040467,False
qwen3_1b7,us_place,last,ridge,25,0.41804023731299206,0.5712755345534459,0.5354495565322919,False
qwen3_1b7,us_place,last,ridge,26,0.4134706253449026,0.5691352295460802,0.536992407058617,False
qwen3_1b7,us_place,last,ridge,27,0.41118324352949115,0.5656737956578268,0.5362904463041904,False
qwen3_1b7,us_place,last,ridge,28,0.3866296855815026,0.5381807846245912,0.45444090151411376,False
qwen3_1b7,historical_figure,last,ridge,1,0.4673778539586554,0.6638813254597699,0.5285126092570742,False
qwen3_1b7,historical_figure,last,ridge,2,0.5310247071891847,0.7149017721133885,0.5785162807233977,False
qwen3_1b7,historical_figure,last,ridge,3,0.5248560152760875,0.7120683322252885,0.5926704786402206,False
qwen3_1b7,historical_figure,last,ridge,4,0.5202657108878457,0.7076668578553443,0.5814093242296949,False
qwen3_1b7,historical_figure,last,ridge,5,0.5743623161104666,0.7392984283304912,0.6214671115841262,False
qwen3_1b7,historical_figure,last,ridge,6,0.591560667910063,0.7501383916696855,0.6275986814399939,False
qwen3_1b7,historical_figure,last,ridge,7,0.6196833233695367,0.7699405049859402,0.650373583818548,False
qwen3_1b7,historical_figure,last,ridge,8,0.653997074670635,0.7966688760813437,0.6779498873930332,False
qwen3_1b7,historical_figure,last,ridge,9,0.6730411959924827,0.8049661669635659,0.690481475163535,False
qwen3_1b7,historical_figure,last,ridge,10,0.6776972823822764,0.8081972750848523,0.7001261374392563,False
qwen3_1b7,historical_figure,last,ridge,11,0.6837894372159361,0.8132541674261815,0.7039439264054722,False
qwen3_1b7,historical_figure,last,ridge,12,0.6810902045442659,0.811426919862837,0.7041990519824449,False
qwen3_1b7,historical_figure,last,ridge,13,0.6753854372690193,0.8069786467604637,0.7023264513401661,False
qwen3_1b7,historical_figure,last,ridge,14,0.6715225695004785,0.805413669365997,0.7012745109921437,False
qwen3_1b7,historical_figure,last,ridge,15,0.669802542822074,0.8066223602358538,0.6924068229567357,False
qwen3_1b7,historical_figure,last,ridge,16,0.6695529032120845,0.8089164420828533,0.6954234532560417,False
qwen3_1b7,historical_figure,last,ridge,17,0.6717968265042951,0.8070419923196721,0.7002873921050731,False
qwen3_1b7,historical_figure,last,ridge,18,0.6799133228964498,0.8101637163704429,0.7090617018816707,False
qwen3_1b7,historical_figure,last,ridge,19,0.6888250942747782,0.8189105461380802,0.7105048241123146,False
qwen3_1b7,historical_figure,last,ridge,20,0.6892915785204605,0.8173356336859221,0.7156689182941836,False
qwen3_1b7,historical_figure,last,ridge,21,0.6933467392009145,0.816700810092887,0.724859408550486,True
qwen3_1b7,historical_figure,last,ridge,22,0.6863760085306742,0.8100477629577741,0.7253379082124964,False
qwen3_1b7,historical_figure,last,ridge,23,0.6832048779167287,0.8086134654846421,0.7237181187911716,False
qwen3_1b7,historical_figure,last,ridge,24,0.6845894631931007,0.8080184607285358,0.7233261859814787,False
qwen3_1b7,historical_figure,last,ridge,25,0.678756064494863,0.8050192253862142,0.7250456897619946,False
qwen3_1b7,historical_figure,last,ridge,26,0.6802603876453377,0.8050513263535136,0.7230783493173165,False
qwen3_1b7,historical_figure,last,ridge,27,0.6725424234005606,0.7968537662037988,0.719492248585939,False
qwen3_1b7,historical_figure,last,ridge,28,0.6787445641888261,0.8064767358889046,0.7041493014035602,False
qwen3_1b7,nyc_place,last,ridge,1,0.06390343431728196,0.2232966459117754,0.18206346464487005,False
qwen3_1b7,nyc_place,last,ridge,2,0.08041060821532725,0.25616177793274825,0.18227165155101727,True
qwen3_1b7,nyc_place,last,ridge,3,0.06091557958306182,0.2295991462312445,0.20707923328387806,False
qwen3_1b7,nyc_place,last,ridge,4,0.07013086729754359,0.24733406337314673,0.17708466984450622,False
qwen3_1b7,nyc_place,last,ridge,5,0.07609434007540006,0.26894977827060373,0.1880465586511848,False
qwen3_1b7,nyc_place,last,ridge,6,0.07517366003375558,0.2677562980850524,0.20096486817296194,False
qwen3_1b7,nyc_place,last,ridge,7,0.06824828871758687,0.2610708352334002,0.2186138412584816,False
qwen3_1b7,nyc_place,last,ridge,8,0.07236148369682821,0.25015510661946816,0.1815130302866283,False
qwen3_1b7,nyc_place,last,ridge,9,0.06950175456074531,0.25183809966380843,0.1949628581558392,False
qwen3_1b7,nyc_place,last,ridge,10,0.06890395035668584,0.26624424406590386,0.20640961114268153,False
qwen3_1b7,nyc_place,last,ridge,11,0.056482665092102036,0.2487796417650543,0.22605246362416737,False
qwen3_1b7,nyc_place,last,ridge,12,0.04408194343923133,0.23266420432886067,0.23013218425137244,False
qwen3_1b7,nyc_place,last,ridge,13,0.038793013500398044,0.23996045841756058,0.23156409198590788,False
qwen3_1b7,nyc_place,last,ridge,14,0.03331200762477593,0.23501690801719322,0.24545485831089925,False
qwen3_1b7,nyc_place,last,ridge,15,0.04277183796482853,0.2073465406680855,0.20447389610238204,False
qwen3_1b7,nyc_place,last,ridge,16,0.037386256319805355,0.2086624492852316,0.21515292496863508,False
qwen3_1b7,nyc_place,last,ridge,17,0.02976576816423465,0.21354555154414254,0.228397476233762,False
qwen3_1b7,nyc_place,last,ridge,18,0.01686975491554571,0.21301594060799492,0.24855185141657055,False
qwen3_1b7,nyc_place,last,ridge,19,0.04936607032213891,0.24151916397946513,0.2253906333220449,False
qwen3_1b7,nyc_place,last,ridge,20,0.04839534580848248,0.2483404430727239,0.2447188822140109,False
qwen3_1b7,nyc_place,last,ridge,21,0.05020935288670503,0.2749939488438044,0.27255966447679164,False
qwen3_1b7,nyc_place,last,ridge,22,0.030479793297978175,0.27407544112758836,0.27759595651427565,False
qwen3_1b7,nyc_place,last,ridge,23,0.019154738940459937,0.29449969489827743,0.282888732338896,False
qwen3_1b7,nyc_place,last,ridge,24,0.0016834694537817274,0.28660381166537663,0.2895582945802163,False
qwen3_1b7,nyc_place,last,ridge,25,-0.011251196284253417,0.26896915318689774,0.29613507181711096,False
qwen3_1b7,nyc_place,last,ridge,26,-0.028237261211750964,0.2617213276034998,0.3021680438407047,False
qwen3_1b7,nyc_place,last,ridge,27,-0.014285820522140336,0.28832289484373763,0.3047587503126221,False
qwen3_1b7,nyc_place,last,ridge,28,0.07942107017429512,0.28960512049005865,0.21549233060759732,False
qwen3_1b7,world_place,last,ridge,1,0.3168391905359454,0.5214598480050792,0.391779553358522,False
qwen3_1b7,world_place,last,ridge,2,0.36903353984471177,0.5662908672981769,0.45019309566689963,False
qwen3_1b7,world_place,last,ridge,3,0.3509754894708774,0.5474766428816377,0.4377579436555199,False
qwen3_1b7,world_place,last,ridge,4,0.38845245547999896,0.5631509275537319,0.4591432377853653,False
qwen3_1b7,world_place,last,ridge,5,0.4324088010923486,0.6083301883548402,0.5017850500113681,False
qwen3_1b7,world_place,last,ridge,6,0.45941744786047434,0.6369014905369778,0.522872114203961,False
qwen3_1b7,world_place,last,ridge,7,0.4864253454109604,0.649610184875303,0.5503023612956577,False
qwen3_1b7,world_place,last,ridge,8,0.5460267040594903,0.6961174260124738,0.5992750487534542,False
qwen3_1b7,world_place,last,ridge,9,0.6029474430242381,0.7410217579586943,0.6435199554050353,False
qwen3_1b7,world_place,last,ridge,10,0.6103445543992434,0.7389283659707901,0.6635666167573276,False
qwen3_1b7,world_place,last,ridge,11,0.6125437764669649,0.7394936283993838,0.6603503956087573,False
qwen3_1b7,world_place,last,ridge,12,0.6036629742996407,0.7303766183452177,0.6516433970531476,False
qwen3_1b7,world_place,last,ridge,13,0.5977776814995746,0.723899113979868,0.650774792163691,False
qwen3_1b7,world_place,last,ridge,14,0.5986871457048606,0.7247888450098124,0.6520550018053636,False
qwen3_1b7,world_place,last,ridge,15,0.5920543663258089,0.7184957568001759,0.6471671407452162,False
qwen3_1b7,world_place,last,ridge,16,0.5902148082146578,0.7155802445536279,0.6501455234624524,False
qwen3_1b7,world_place,last,ridge,17,0.5859275627730001,0.7123780181219851,0.6465330453853069,False
qwen3_1b7,world_place,last,ridge,18,0.5960783868096504,0.7236706201852517,0.6503855363917393,False
qwen3_1b7,world_place,last,ridge,19,0.6358149193615716,0.7468801256527494,0.68610763336359,False
qwen3_1b7,world_place,last,ridge,20,0.6256142503029778,0.7413344265891328,0.6725758120810411,False
