regime,model,cleaning,pool,layer,year_transform,k,spearman_mean,spearman_std,r2_mean,r2_std,mae_mean,mae_std,mase_mean,mdape_mean,shuffled_spearman_mean,shuffled_r2_mean,n_valid_folds,n_total_folds
imbalanced,thalesian_cunei400m,tier0,mean,0,raw,1,0.3321706003381207,0.2844452553284914,0.08472986971519865,0.11215566493453691,82.33974414521037,2.4796764186572346,1.5018956680422317,7.747702092992957,-0.01024420813265007,-0.04804973802323017,3,5
imbalanced,thalesian_cunei400m,tier0,mean,0,raw,2,0.3248546388720425,0.15199807637964877,0.05132375130502709,0.05533002147800888,86.20221038582183,4.4720102222015345,1.574905373409096,7.747815455360391,0.007078611320206392,-0.07895683819638462,3,5
imbalanced,thalesian_cunei400m,tier0,mean,0,raw,3,0.2709058731296796,0.04859884027394002,-0.022954271014847445,0.08646196002877127,92.46899899855983,6.204795355042864,1.6919096233010409,9.325540123622167,0.012657647395718487,-0.07514433400925036,3,5
imbalanced,thalesian_cunei400m,tier0,mean,0,raw,5,0.15700230652725392,0.07964060404575442,-0.2238987759238321,0.15430087013709218,102.82626039569595,15.309654136036976,1.8910291163773436,10.56662708473162,-0.02517660443798568,-0.11253855523032819,3,5
imbalanced,thalesian_cunei400m,tier0,mean,0,log,1,0.012460643860552997,0.12463819880501083,-0.001215563729869899,0.0635333871725684,0.2382961618283946,0.030017968976988916,1.9996806726528764,1.8719071654197066,0.011001197813003781,-0.029646958714362254,3,5
imbalanced,thalesian_cunei400m,tier0,mean,0,log,2,0.2879816291645081,0.1282818267227324,-0.02798860882336962,0.10828339523915662,0.2563634563638641,0.026783627406228475,2.144806880553226,1.6313330668606634,-3.0831078047635165e-05,-0.053877654799398655,3,5
imbalanced,thalesian_cunei400m,tier0,mean,0,log,3,0.25223970174701643,0.12185621800607449,-0.3340463911053532,0.3652644343696186,0.30993113041606674,0.02470585314442063,2.5601744075368096,2.0033304039920474,-0.013701376401340651,-0.06347367092161231,3,5
imbalanced,thalesian_cunei400m,tier0,mean,0,log,5,0.1046368241053726,0.09084903446471838,-0.49865360545956655,0.4639659366384,0.3459405653779875,0.04707407280602248,2.856071144984522,2.463970035832235,-0.014364896497202692,-0.0935853571537466,3,5
imbalanced,thalesian_cunei400m,tier0,mean,1,raw,1,0.25541476375310784,0.2531199400925956,0.05249918682840852,0.0852930644485115,83.53793689234693,3.6398194405623423,1.5235574417894961,7.562551534735022,-0.013518340879975168,-0.033913267824692804,3,5
imbalanced,thalesian_cunei400m,tier0,mean,1,raw,2,0.2508031208988836,0.13739841231005856,0.03326008304353937,0.0384872402058125,87.4609357850693,2.1921309020261783,1.5958861296303348,8.098353373468656,0.0039353907594547,-0.04776726195418468,3,5
imbalanced,thalesian_cunei400m,tier0,mean,1,raw,3,0.23336899234130684,0.035602881061443555,0.026112915104794337,0.06164454053449786,90.08744548821504,3.9476291943274475,1.6458495057222404,9.037474146173194,0.02345057089744068,-0.0398629486187004,3,5
imbalanced,thalesian_cunei400m,tier0,mean,1,raw,5,0.12367278596430571,0.08512723834273332,-0.18235126265036317,0.04531244300934471,100.22945446209671,9.9895123655975,1.8377679139187013,10.154306184609984,-0.029872725380721693,-0.09346241770436665,3,5
imbalanced,thalesian_cunei400m,tier0,mean,1,log,1,0.04906577425934706,0.11950507050022081,0.01631849552741904,0.07662449067067141,0.2539326270016504,0.026829756755207657,2.1274603566085664,2.1509547004659066,-0.009366785207854457,-0.025952494481925454,3,5
