regime,model,cleaning,pool,layer,k,accuracy,accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,chance_accuracy,chance_macro_f1,shuffled_accuracy,shuffled_macro_f1,n_draws
imbalanced,thalesian_cunei400m,tier0,mean,0,5,0.4190851235891847,0.017150824256590022,0.08666402511245856,0.01003142181808472,0.3414106774128832,0.020833689858741455,0.22464375523889354,0.025,0.21374072641608946,0.02866534861465937,
imbalanced,thalesian_cunei400m,tier0,mean,1,5,0.4031538975422805,0.02483048995715128,0.07971518216816645,0.010763511977647149,0.3151661922228814,0.027292730148513022,0.22464375523889354,0.025,0.21458106255054324,0.027766771953128905,
imbalanced,thalesian_cunei400m,tier0,mean,2,5,0.4274498083752329,0.02608073742190581,0.08600773882134309,0.00910090503626067,0.3361877949678128,0.025900592567612492,0.22464375523889354,0.025,0.21206708624872544,0.02802831537884492,
imbalanced,thalesian_cunei400m,tier0,mean,3,5,0.439196934003727,0.016420874112801406,0.08864805369806346,0.0067082208371617,0.3452789072573541,0.01781899523454893,0.22464375523889354,0.025,0.2062058296121796,0.028564982367427542,
imbalanced,thalesian_cunei400m,tier0,mean,4,5,0.4492633873633135,0.016183018535656454,0.09353916330892936,0.008919696785818592,0.36467839129648133,0.020337919819442704,0.22464375523889354,0.025,0.21208115045181253,0.02908323516860145,
imbalanced,thalesian_cunei400m,tier0,mean,5,5,0.4433986146759959,0.019611532716926616,0.09527730901135933,0.008738011060611724,0.36734592314881753,0.01957579552530268,0.22464375523889354,0.025,0.2028655813789951,0.025879448274317218,
imbalanced,thalesian_cunei400m,tier0,mean,6,5,0.44843711543194686,0.014336776246006083,0.10140370180323396,0.009309740328260695,0.37794640878342667,0.01674401987265549,0.22464375523889354,0.025,0.20787946977954364,0.02764639902974586,
imbalanced,thalesian_cunei400m,tier0,mean,7,5,0.45512816005063106,0.014761600567837024,0.10802040171310372,0.009364684878681848,0.38918713832244667,0.01598169980155595,0.22464375523889354,0.025,0.20451812524172852,0.026650700915327053,
imbalanced,thalesian_cunei400m,tier0,mean,8,5,0.46183678492317426,0.015477982977028687,0.10749124805459942,0.007684274741748468,0.38842884322863613,0.013689250555426833,0.22464375523889354,0.025,0.21792834288527127,0.030118076723202915,
imbalanced,thalesian_cunei400m,tier0,mean,9,5,0.4735557821454942,0.025510915662477977,0.10929947779557336,0.0089634012939935,0.3932316863957796,0.02324719005423789,0.22464375523889354,0.025,0.21542139868499702,0.028693224494609277,
imbalanced,thalesian_cunei400m,tier0,mean,10,5,0.48194859533771667,0.02151804228048972,0.1089356400595403,0.006671269970985874,0.39321772090226836,0.017827061366956283,0.22464375523889354,0.025,0.21793185893604305,0.02971174485175937,
imbalanced,thalesian_cunei400m,tier0,mean,11,5,0.4903378924791674,0.02337904518696642,0.11134515928770665,0.0077879596967498,0.40301799267275945,0.020311594558944837,0.22464375523889354,0.025,0.21123378221581518,0.027948628355945814,
imbalanced,thalesian_cunei400m,tier0,mean,12,5,0.49704651735171057,0.023031780477204278,0.1143086553651947,0.0108259294763295,0.42194835553892795,0.022184467695509066,0.22464375523889354,0.025,0.20788298583031542,0.027582399934244627,
imbalanced,thalesian_cunei400m,tier0,last,0,1,,,,,,,,,,,
imbalanced,thalesian_cunei400m,tier0,last,1,5,0.27242009774621145,0.024367420072072116,0.0488458552282184,0.009179012190884446,0.20895213173469768,0.02394178213165478,0.22464375523889354,0.025,0.2095671741499947,0.027178203460028832,
imbalanced,thalesian_cunei400m,tier0,last,2,5,0.2724306458985268,0.01921691301083056,0.04676406486428906,0.013312295925640878,0.1840315250783417,0.014713653067514394,0.22464375523889354,0.025,0.1953271685243135,0.025747143303489622,
imbalanced,thalesian_cunei400m,tier0,last,3,5,0.2858408635420696,0.026318529945969404,0.0584596923259391,0.014639610624064957,0.1967450753694822,0.017028046638934893,0.22464375523889354,0.025,0.20035863717872088,0.026393561927386577,
imbalanced,thalesian_cunei400m,tier0,last,4,5,0.30343166555325063,0.027768749509003345,0.05595916004664818,0.01020850880587054,0.2101785326917452,0.02328376232668298,0.22464375523889354,0.025,0.20032699272177487,0.02751266658948754,
imbalanced,thalesian_cunei400m,tier0,last,5,5,0.3000914173200661,0.02385401516239631,0.06507661129964105,0.014309622930216764,0.21332916220966144,0.019244188657822923,0.22464375523889354,0.025,0.20703561759431804,0.029033989600420307,
imbalanced,thalesian_cunei400m,tier0,last,6,5,0.3126753630322422,0.013290474719341238,0.06356061078178701,0.00773300797233047,0.2308569815151718,0.008164627004226262,0.22464375523889354,0.025,0.21458457860131502,0.03002549275129962,
imbalanced,thalesian_cunei400m,tier0,last,7,5,0.31769276748356245,0.0036611189954775833,0.05810569451028498,0.002366333102371306,0.22773026167976268,0.00798967041618099,0.22464375523889354,0.025,0.20956365809922298,0.027840790295152164,
imbalanced,thalesian_cunei400m,tier0,last,8,5,0.32858549277451565,0.014197330617900924,0.05887029722026112,0.0015820519314608621,0.23133852000008823,0.00999430718390473,0.22464375523889354,0.025,0.21544249498962764,0.02960917438339748,
imbalanced,thalesian_cunei400m,tier0,last,9,5,0.3352800534439717,0.010644053804768518,0.06182769990594601,0.003932256892084259,0.23998842945537163,0.009582176292570627,0.22464375523889354,0.025,0.21460215885517386,0.029073973386399193,
imbalanced,thalesian_cunei400m,tier0,last,10,5,0.35288491965823987,0.01945469496389533,0.07172160804699577,0.0054470960158970105,0.27705916121140806,0.01807599071467121,0.22464375523889354,0.025,0.20368130515804647,0.027732439661154167,
imbalanced,thalesian_cunei400m,tier0,last,11,5,0.3403537147076404,0.02351259680598866,0.0668955365452989,0.007011580234317017,0.26486015115367073,0.020780016315172636,0.22464375523889354,0.025,0.1961393762525931,0.026159360504483576,
imbalanced,thalesian_cunei400m,tier0,last,12,5,0.2984212932034739,0.01578783302057769,0.0548757436989021,0.014350528400240413,0.21414837771188616,0.0105035922359447,0.22464375523889354,0.025,0.20118139305931576,0.02815281360883117,
imbalanced,thalesian_cunei400m,maximal,mean,0,5,0.3143349389965191,0.010932600000503499,0.06133834243073612,0.014641760561197209,0.2223133241215148,0.011488352909181859,0.22464375523889354,0.025,0.22128968742308638,0.02771202803549654,
imbalanced,thalesian_cunei400m,maximal,mean,1,5,0.34281143419710974,0.03672526459526619,0.07131612107829643,0.011451450458726265,0.26054455656368736,0.039655680736541674,0.22464375523889354,0.025,0.22214057170985552,0.029326251650455416,
imbalanced,thalesian_cunei400m,maximal,mean,2,5,0.3285819767237439,0.04031117723871884,0.06157474662114133,0.008629975756597916,0.24026601347713403,0.04470205763362149,0.22464375523889354,0.025,0.22801589254948845,0.030133935773842862,
imbalanced,thalesian_cunei400m,maximal,mean,3,5,0.3369466615097922,0.020331404810027615,0.06460863887818907,0.005459362749745421,0.2464713329180956,0.021529238797931206,0.22464375523889354,0.025,0.21965472381421192,0.028685018145906033,
imbalanced,thalesian_cunei400m,maximal,mean,4,5,0.37804577898104846,0.02901657407094994,0.07332190648818149,0.002895709976387698,0.29025271267676567,0.024587997161353566,0.22464375523889354,0.025,0.21963011145880945,0.028865140060799772,
imbalanced,thalesian_cunei400m,maximal,mean,5,5,0.3931226046904117,0.017122411327032426,0.07478267702174214,0.0025950313186056478,0.30326356012114375,0.012021474215714326,0.22464375523889354,0.025,0.21544601104039943,0.02837213367082888,
imbalanced,thalesian_cunei400m,maximal,mean,6,5,0.4081923982982314,0.013771646010713151,0.08577377163596292,0.01978039476238322,0.31725783097915655,0.013255463277473402,0.22464375523889354,0.025,0.20621286171372316,0.02978387539154966,
imbalanced,thalesian_cunei400m,maximal,mean,7,5,0.4056995183010442,0.00963523659819584,0.07981835225606472,0.0031520390462301115,0.31913057475165724,0.009884480383468397,0.22464375523889354,0.025,0.20454273759713087,0.027880441835131175,
imbalanced,thalesian_cunei400m,maximal,mean,8,5,0.4106993424985057,0.017465097334234927,0.08463138751027888,0.005482744730355527,0.32899836823070994,0.01833370519002614,0.22464375523889354,0.025,0.21124433036813053,0.02880133106637256,
imbalanced,thalesian_cunei400m,maximal,mean,9,5,0.4232692240075947,0.031207042530054154,0.09052988392030174,0.011796272958288685,0.34166294081686244,0.030398118053257827,0.22464375523889354,0.025,0.2020322773460849,0.027714976207900376,
imbalanced,thalesian_cunei400m,maximal,mean,10,5,0.4199254597236384,0.019355763373823668,0.08502085524926602,0.004508633119845347,0.3340574720005936,0.014919705558765827,0.22464375523889354,0.025,0.2037024014626771,0.028187127633725967,
imbalanced,thalesian_cunei400m,maximal,mean,11,5,0.43082521711613514,0.016913038979565156,0.09166349496871645,0.005028751649750238,0.3488722125333054,0.014014522891322118,0.22464375523889354,0.025,0.2087303540663127,0.02830879741366729,
imbalanced,thalesian_cunei400m,maximal,mean,12,5,0.4299778488801378,0.017133759063795478,0.09432561491861252,0.01962916600403562,0.3339273107601544,0.014506887541975646,0.22464375523889354,0.025,0.2179494391899019,0.030280170335030727,
imbalanced,thalesian_cunei400m,maximal,last,0,1,,,,,,,,,,,
imbalanced,thalesian_cunei400m,maximal,last,1,5,0.2665482929573503,0.014534387667375798,0.038928029393492575,0.0030220282200266128,0.1917861990218949,0.007337717153360429,0.22464375523889354,0.025,0.19026757146373194,0.02262884302064968,
imbalanced,thalesian_cunei400m,maximal,last,2,5,0.25481874758271517,0.017877821994311496,0.038052299714338385,0.003049153283109857,0.1843747195028971,0.011209161311724197,0.22464375523889354,0.025,0.20451109314018492,0.026387843167265935,
imbalanced,thalesian_cunei400m,maximal,last,3,5,0.2565029359023944,0.007421771051338685,0.041983996247966074,0.010187524264103517,0.1726579435470182,0.015242036498699733,0.22464375523889354,0.025,0.21540733448190993,0.028015098289170582,
imbalanced,thalesian_cunei400m,maximal,last,4,5,0.24898561935234342,0.023537911380382075,0.03952705870932064,0.012346582764652907,0.16593682201513155,0.0261862724276799,0.22464375523889354,0.025,0.22545972363840935,0.02913380405862892,
imbalanced,thalesian_cunei400m,maximal,last,5,5,0.26658345346506807,0.02430153891533299,0.03666406346977827,0.005111823167985181,0.18340553378455185,0.021961772370758633,0.22464375523889354,0.025,0.21960549910340704,0.02873609164619601,
imbalanced,thalesian_cunei400m,maximal,last,6,5,0.29169508807707184,0.017984241902383777,0.04171245596430897,0.004103761392122226,0.2069059203967037,0.012644055801981864,0.22464375523889354,0.025,0.21710910305544812,0.028923755609005335,
imbalanced,thalesian_cunei400m,maximal,last,7,5,0.2774515664006188,0.008099839402081003,0.04086346940679121,0.003131610423464037,0.20069271458654164,0.006712443631419806,0.22464375523889354,0.025,0.21291093843395098,0.027962367638848268,
imbalanced,thalesian_cunei400m,maximal,last,8,5,0.29672304068070743,0.018475454718282363,0.04356222914755376,0.005651868497650436,0.21305125969278826,0.016582790736989733,0.22464375523889354,0.025,0.20788650188108715,0.02828466613027127,
imbalanced,thalesian_cunei400m,maximal,last,9,5,0.294219612531205,0.014445973476683147,0.04596610385613113,0.0038495061252865285,0.21444556493464972,0.01222362512164473,0.22464375523889354,0.025,0.21041454238599205,0.030001260634369455,
imbalanced,thalesian_cunei400m,maximal,last,10,5,0.30426496958616084,0.013960986000373331,0.0500709788710485,0.004716937340764786,0.23030416163993467,0.01145050352388426,0.22464375523889354,0.025,0.2078865018810872,0.02952230838334998,
imbalanced,thalesian_cunei400m,maximal,last,11,5,0.29921240462712284,0.01832640542075916,0.04816260003747017,0.004595687140835765,0.22435424409927113,0.016070079336992615,0.22464375523889354,0.025,0.19866741675749797,0.02774662892873086,
imbalanced,thalesian_cunei400m,maximal,last,12,5,0.2900144158081642,0.018061968899308858,0.04773379562965524,0.00857325846228169,0.21315546627873685,0.012711064626454428,0.22464375523889354,0.025,0.2020041489399107,0.028618875996859118,
imbalanced,thalesian_akk300m,tier0,mean,0,5,0.42749200098449425,0.0034347983079124718,0.0908126429264932,0.0040833193789730216,0.34579936696432656,0.006807699830273056,0.22464375523889354,0.025,0.21292851868780982,0.028359329226355062,
imbalanced,thalesian_akk300m,tier0,mean,1,5,0.45427375971309025,0.023254639886743016,0.0921991417125744,0.007969987185202256,0.36207087060037735,0.022463075584088874,0.22464375523889354,0.025,0.21210576280721494,0.030001419973883142,
imbalanced,thalesian_akk300m,tier0,mean,2,5,0.45847895643613096,0.01849885635203566,0.10168826603989418,0.005050505232297849,0.37632173420935977,0.015110078862073738,0.22464375523889354,0.025,0.20957772230231003,0.029779918937656365,
imbalanced,thalesian_akk300m,tier0,mean,3,5,0.4601561126542667,0.022734550465724875,0.1033284624637314,0.009802081551749373,0.378794902706775,0.02565384523300746,0.22464375523889354,0.025,0.20707077810203578,0.029064782894888418,
imbalanced,thalesian_akk300m,tier0,mean,4,5,0.4609788685348617,0.02612463486391603,0.1080556908592549,0.012840333823316357,0.3840098814637881,0.026502984353601627,0.22464375523889354,0.025,0.2020428254984002,0.025606085098776755,
imbalanced,thalesian_akk300m,tier0,mean,5,5,0.4065187581308674,0.014201218074811128,0.08326865458645025,0.005677717152377525,0.3174417531054728,0.013854986989167284,0.22464375523889354,0.025,0.21208115045181253,0.02605506010937403,
imbalanced,thalesian_akk300m,tier0,mean,6,5,0.41907457543686927,0.03184648579718243,0.08388676116929257,0.009912029264586052,0.32743618662236285,0.029283736580770242,0.22464375523889354,0.025,0.21208115045181253,0.026488338082247855,
imbalanced,thalesian_akk300m,tier0,mean,7,5,0.40568897014872896,0.014985165844179223,0.10222057389465258,0.009188164197722115,0.3495070560260792,0.016599112629273906,0.22464375523889354,0.025,0.20202172919376954,0.026216060598339107,
imbalanced,thalesian_akk300m,tier0,mean,8,5,0.3830772476354558,0.0072782284947201245,0.10335979152517476,0.006914098156008654,0.28759601557726244,0.011082261858662939,0.22464375523889354,0.025,0.21709152280158928,0.02927650899658497,
imbalanced,thalesian_akk300m,tier0,last,0,1,,,,,,,,,,,
imbalanced,thalesian_akk300m,tier0,last,1,5,0.32861010512991806,0.015481778839547166,0.059727522714028466,0.010859474632171214,0.23397680252199118,0.015480071862600727,0.22464375523889354,0.025,0.2028374529728209,0.0271257551360652,
imbalanced,thalesian_akk300m,tier0,last,2,5,0.282486551105798,0.018710338358889512,0.05884547633008337,0.012996561717759833,0.20055536757661946,0.018622312362724693,0.22464375523889354,0.025,0.19445870398368553,0.02417339186355185,
imbalanced,thalesian_akk300m,tier0,last,3,5,0.2925494884146127,0.017980801068001085,0.06372774276781171,0.016815716182001863,0.2067368367381021,0.01684035897312202,0.22464375523889354,0.025,0.20285854927745156,0.02568362557428832,
imbalanced,thalesian_akk300m,tier0,last,4,5,0.32189444815583135,0.012953233164805518,0.06949743094060137,0.013967539639212672,0.22424107678845714,0.011258538713821986,0.22464375523889354,0.025,0.2028409690235927,0.026762552226221,
imbalanced,thalesian_akk300m,tier0,last,5,5,0.3009001089975739,0.024195933756057147,0.0631718625377439,0.019593733265890277,0.2148054995925132,0.021772637520041764,0.22464375523889354,0.025,0.21457403044899967,0.028326705969179956,
imbalanced,thalesian_akk300m,tier0,last,6,5,0.33696072571287927,0.019113389118259813,0.0640346513798796,0.011658971715164217,0.23763041589421247,0.01793128628698568,0.22464375523889354,0.025,0.2162336064132766,0.0278893737394804,
imbalanced,thalesian_akk300m,tier0,last,7,5,0.34282549840019694,0.01339125960661155,0.07934632042129544,0.013962187394114863,0.2377379874215529,0.013413257567783514,0.22464375523889354,0.025,0.2028304208712774,0.0258905695781426,
imbalanced,thalesian_akk300m,tier0,last,8,5,0.34449913856756087,0.01573828628947073,0.0820946761293738,0.014085919303757098,0.2391200705998778,0.012257771695730972,0.22464375523889354,0.025,0.20367427305650293,0.027680183250390074,
imbalanced,thalesian_akk300m,maximal,mean,0,5,0.3352800534439717,0.005343791082607948,0.056539998490356666,0.003445148695445929,0.25430073103591927,0.004278220004000381,0.22464375523889354,0.025,0.20871277381245384,0.028666138128376893,
imbalanced,thalesian_akk300m,maximal,mean,1,5,0.37217397419218734,0.033747147989248154,0.07195825307337532,0.009655748098020743,0.28797518310626424,0.027439172478927736,0.22464375523889354,0.025,0.2237895995218171,0.029200047505269416,
imbalanced,thalesian_akk300m,maximal,mean,2,5,0.3839070356175943,0.02655034078958242,0.07428914264395388,0.01049100810849114,0.2947304445692672,0.02762342862157807,0.22464375523889354,0.025,0.21874758271509442,0.028348660021645444,
imbalanced,thalesian_akk300m,maximal,mean,3,5,0.3881087162898632,0.019613430052836802,0.0747864799255229,0.007038637868911,0.29875160171633375,0.01576579314020746,0.22464375523889354,0.025,0.21707745859850217,0.028421337147665073,
imbalanced,thalesian_akk300m,maximal,mean,4,5,0.38814036074680913,0.025623221868894916,0.07735196634492861,0.010089522182772223,0.3054488400099655,0.027481557545895225,0.22464375523889354,0.025,0.2162371224640484,0.029538166610190698,
imbalanced,thalesian_akk300m,maximal,mean,5,5,0.38475791990436337,0.009485001686351314,0.07557026495952478,0.004958920609412102,0.303032069043322,0.008974041911155766,0.22464375523889354,0.025,0.20784782532259766,0.02421012892137121,
imbalanced,thalesian_akk300m,maximal,mean,6,5,0.39397348897718076,0.007891846254449393,0.07793527492530432,0.0027833512046169947,0.3124609769631932,0.0048780099095433495,0.22464375523889354,0.025,0.22295629548890689,0.028826511409582145,
imbalanced,thalesian_akk300m,maximal,mean,7,5,0.3663267817587286,0.023527360470536086,0.06865221090424836,0.005651059585292842,0.27049504561024795,0.017991675072972845,0.22464375523889354,0.025,0.2086670651524208,0.025078429719322958,
imbalanced,thalesian_akk300m,maximal,mean,8,5,0.32188038395274426,0.01344203454498022,0.05932809733720009,0.0026485045368902734,0.23147564773669008,0.011968510775664704,0.22464375523889354,0.025,0.2195984670018635,0.02934611951316852,
imbalanced,thalesian_akk300m,maximal,last,0,1,,,,,,,,,,,
imbalanced,thalesian_akk300m,maximal,last,1,5,0.28836890404697446,0.017165732930989486,0.05618394105851793,0.013663396115081926,0.21163621345338787,0.013120511886789938,0.22464375523889354,0.025,0.21292851868780988,0.028076666919815287,
imbalanced,thalesian_akk300m,maximal,last,2,5,0.274969234555747,0.025570964578658147,0.048820049914170424,0.01451556682847486,0.19113993698534676,0.015667304913638658,0.22464375523889354,0.025,0.22465454801167334,0.030108697967491015,
imbalanced,thalesian_akk300m,maximal,last,3,5,0.2732815301852959,0.02068905762256787,0.0396896229081121,0.0023612612305558187,0.19208527961401867,0.010713017653407254,0.22464375523889354,0.025,0.22380014767413242,0.03185824045536197,
imbalanced,thalesian_akk300m,maximal,last,4,5,0.2925565205161563,0.023384466774383175,0.04453517796654683,0.004074848939545561,0.20599722166432605,0.013891527453270264,0.22464375523889354,0.025,0.21960549910340704,0.030767931054614638,
imbalanced,thalesian_akk300m,maximal,last,5,5,0.27832354699201856,0.03384815280418811,0.04347672302804952,0.008559641849777313,0.20221321638549794,0.030776842994935227,0.22464375523889354,0.025,0.2112232340634999,0.029063715487823306,
imbalanced,thalesian_akk300m,maximal,last,6,5,0.2825041313596568,0.02286521528117281,0.04221321888096924,0.005136823755167881,0.19716030151794867,0.01792494348190745,0.22464375523889354,0.025,0.213747758517633,0.028662867242050194,
imbalanced,thalesian_akk300m,maximal,last,7,5,0.28083400724306457,0.02239967085000348,0.038368345988296235,0.005606536540341329,0.1904791954750436,0.016395696647395822,0.22464375523889354,0.025,0.2095601420484512,0.02870412929033646,
imbalanced,thalesian_akk300m,maximal,last,8,5,0.2732885622868394,0.023028458746760985,0.040059777497489714,0.007798712829807371,0.1950870381239636,0.026378237015908596,0.22464375523889354,0.025,0.20704264969586159,0.0283166797339105,
imbalanced,mlm,tier0,mean,0,5,0.5318749607683134,0.02222397981458421,0.0856719492449117,0.004377292838272244,0.46628260292496665,0.016427907898957723,0.30011198208286677,0.02631578947368421,0.2911116690728768,0.035012186812377756,
imbalanced,mlm,tier0,mean,1,5,0.4893666436507439,0.013613926998689322,0.08519955726171288,0.01781222240636758,0.4144768686183345,0.010528088764880853,0.30011198208286677,0.02631578947368421,0.2810558031510891,0.03316327056145984,
imbalanced,mlm,tier0,mean,2,5,0.4636306572092147,0.022758792556218103,0.07487477701095957,0.009656381530332554,0.3942280861520028,0.022146118044213403,0.30011198208286677,0.02631578947368421,0.2777038478438265,0.03336869715659801,
