entity_type,name,query,count,approx,index_used,target,century,short_name,error
assyrian_ruler,Ashurbanipal,Ashurbanipal,160086,0,v4_olmo-mix-1124_llama,631.0,600,1,
assyrian_ruler,Sennacherib,Sennacherib,449892,0,v4_olmo-mix-1124_llama,681.0,600,1,
assyrian_ruler,Esarhaddon,Esarhaddon,114276,0,v4_olmo-mix-1124_llama,669.0,600,1,
assyrian_ruler,Sargon II,Sargon II,89026,0,v4_olmo-mix-1124_llama,705.0,700,0,
assyrian_ruler,Nebuchadnezzar II,Nebuchadnezzar II,87310,0,v4_olmo-mix-1124_llama,562.0,500,0,
assyrian_ruler,Tiglath-pileser III,Tiglath-pileser III,23127,0,v4_olmo-mix-1124_llama,727.0,700,0,
assyrian_ruler,Nabonidus,Nabonidus,158905,0,v4_olmo-mix-1124_llama,539.0,500,1,
assyrian_ruler,Sîn-šarru-iškun,Sîn-šarru-iškun,50,0,v4_olmo-mix-1124_llama,612.0,600,1,
assyrian_ruler,Nabopolassar,Nabopolassar,66816,0,v4_olmo-mix-1124_llama,605.0,600,1,
assyrian_ruler,Shalmaneser V,Shalmaneser V,18615,0,v4_olmo-mix-1124_llama,722.0,700,0,
assyrian_ruler,Nebuchadnezzar I,Nebuchadnezzar I,6582,0,v4_olmo-mix-1124_llama,1104.0,1100,0,
assyrian_ruler,Adad-apla-iddina,Adad-apla-iddina,1966,0,v4_olmo-mix-1124_llama,1047.0,1000,1,
assyrian_ruler,Neriglissar,Neriglissar,12348,0,v4_olmo-mix-1124_llama,556.0,500,1,
assyrian_ruler,Amel-Marduk,Amel-Marduk,6611,0,v4_olmo-mix-1124_llama,560.0,500,1,
assyrian_ruler,Šamaš-šuma-ukin,Šamaš-šuma-ukin,969,0,v4_olmo-mix-1124_llama,648.0,600,1,
assyrian_ruler,Nabû-mukin-apli,Nabû-mukin-apli,260,0,v4_olmo-mix-1124_llama,943.0,900,1,
assyrian_ruler,Aššur-etel-ilāni,Aššur-etel-ilāni,123,0,v4_olmo-mix-1124_llama,627.0,600,1,
assyrian_ruler,Marduk-apla-iddina II,Marduk-apla-iddina II,2066,0,v4_olmo-mix-1124_llama,710.0,700,0,
assyrian_ruler,Cyrus II,Cyrus II,32958,0,v4_olmo-mix-1124_llama,530.0,500,0,
assyrian_ruler,Marduk-šapik-zeri,Marduk-šapik-zeri,97,0,v4_olmo-mix-1124_llama,1069.0,1000,1,
assyrian_ruler,Simbar-Šipak,Simbar-Šipak,505,0,v4_olmo-mix-1124_llama,1008.0,1000,1,
assyrian_ruler,Marduk-nadin-ahhe,Marduk-nadin-ahhe,1023,0,v4_olmo-mix-1124_llama,1082.0,1000,1,
assyrian_ruler,Eulmaš-šakin-šumi,Eulmaš-šakin-šumi,49,0,v4_olmo-mix-1124_llama,988.0,900,1,
assyrian_ruler,Nabû-šuma-iškun,Nabû-šuma-iškun,162,0,v4_olmo-mix-1124_llama,748.0,700,1,
assyrian_ruler,Bel-ibni,Bel-ibni,3524,0,v4_olmo-mix-1124_llama,700.0,700,1,
assyrian_ruler,Antiochus I,Antiochus I,28421,0,v4_olmo-mix-1124_llama,261.0,200,0,
assyrian_ruler,Kaššû-nadin-ahhe,Kaššû-nadin-ahhe,0,0,v4_olmo-mix-1124_llama,1005.0,1000,1,
assyrian_ruler,Itti-Marduk-balaṭu,Itti-Marduk-balaṭu,727,0,v4_olmo-mix-1124_llama,1132.0,1100,1,
assyrian_ruler,Mar-biti-apla-uṣur,Mar-biti-apla-uṣur,57,0,v4_olmo-mix-1124_llama,979.0,900,1,
assyrian_ruler,Enlil-nadin-apli,Enlil-nadin-apli,309,0,v4_olmo-mix-1124_llama,1100.0,1100,1,
assyrian_ruler,Ninurta-kudurri-usur I,Ninurta-kudurri-usur I,80,0,v4_olmo-mix-1124_llama,985.0,900,0,
assyrian_ruler,Nabû-šumu-libur,Nabû-šumu-libur,0,0,v4_olmo-mix-1124_llama,1026.0,1000,1,
assyrian_ruler,Nabû-naṣir,Nabû-naṣir,45,0,v4_olmo-mix-1124_llama,734.0,700,1,
assyrian_ruler,Ninurta-nadin-šumi,Ninurta-nadin-šumi,1,0,v4_olmo-mix-1124_llama,1126.0,1100,1,
historical_figure,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,248997,0,v4_olmo-mix-1124_llama,1791.0,1700,0,
historical_figure,Denis Diderot,Denis Diderot,109801,0,v4_olmo-mix-1124_llama,1784.0,1700,0,
historical_figure,Carl Linnaeus,Carl Linnaeus,162726,0,v4_olmo-mix-1124_llama,1778.0,1700,0,
historical_figure,Johann Sebastian Bach,Johann Sebastian Bach,331556,0,v4_olmo-mix-1124_llama,1750.0,1700,0,
historical_figure,James Cook,James Cook,669239,0,v4_olmo-mix-1124_llama,1779.0,1700,0,
historical_figure,Peter the Great,Peter the Great,639624,0,v4_olmo-mix-1124_llama,1725.0,1700,0,
historical_figure,Adam Smith,Adam Smith,3508834,0,v4_olmo-mix-1124_llama,1790.0,1700,0,
historical_figure,Pierre Bouguer,Pierre Bouguer,5983,0,v4_olmo-mix-1124_llama,1758.0,1700,0,
historical_figure,Ferdinand Augustin Hallerstein,Ferdinand Augustin Hallerstein,27,0,v4_olmo-mix-1124_llama,1774.0,1700,0,
historical_figure,Franz Balthasar von Lindern,Franz Balthasar von Lindern,24,0,v4_olmo-mix-1124_llama,1755.0,1700,0,
historical_figure,Patrick Browne,Patrick Browne,4700,0,v4_olmo-mix-1124_llama,1790.0,1700,0,
historical_figure,John Clayton,John Clayton,93015,0,v4_olmo-mix-1124_llama,1773.0,1700,0,
historical_figure,Qianlong Emperor,Qianlong Emperor,56260,0,v4_olmo-mix-1124_llama,1799.0,1700,0,
historical_figure,Wladyslaw Jehoshaphat Sapieha,Wladyslaw Jehoshaphat Sapieha,0,0,v4_olmo-mix-1124_llama,1733.0,1700,0,
historical_figure,William Kidd,William Kidd,46085,0,v4_olmo-mix-1124_llama,1701.0,1700,0,
historical_figure,Charles Marie de La Condamine,Charles Marie de La Condamine,2754,0,v4_olmo-mix-1124_llama,1774.0,1700,0,
historical_figure,Alexander Spotswood,Alexander Spotswood,13009,0,v4_olmo-mix-1124_llama,1740.0,1700,0,
historical_figure,Alexis Clairaut,Alexis Clairaut,3871,0,v4_olmo-mix-1124_llama,1765.0,1700,0,
historical_figure,"Mir Qamar-ud-din Siddiqui, Chin Quilich  Khan, Nizam-ul-Mulk Asaf Jah","Mir Qamar-ud-din Siddiqui, Chin Quilich  Khan, Nizam-ul-Mulk Asaf Jah",0,0,v4_olmo-mix-1124_llama,1748.0,1700,0,
historical_figure,Mahmud Hotaki,Mahmud Hotaki,1080,0,v4_olmo-mix-1124_llama,1725.0,1700,0,
historical_figure,Jacob Folkema,Jacob Folkema,220,0,v4_olmo-mix-1124_llama,1767.0,1700,0,
historical_figure,Józef Bogusław Słuszka,Józef Bogusław Słuszka,11,0,v4_olmo-mix-1124_llama,1701.0,1700,0,
historical_figure,Henry Fielding,Henry Fielding,95692,0,v4_olmo-mix-1124_llama,1754.0,1700,0,
historical_figure,"Thomas Thynne, 1st Viscount Weymouth","Thomas Thynne, 1st Viscount Weymouth",30,0,v4_olmo-mix-1124_llama,1714.0,1700,0,
historical_figure,Antoine-Laurent de Lavoisier,Antoine-Laurent de Lavoisier,3887,0,v4_olmo-mix-1124_llama,1794.0,1700,0,
historical_figure,Daniel Solander,Daniel Solander,8092,0,v4_olmo-mix-1124_llama,1782.0,1700,0,
historical_figure,Stanisław Antoni Szczuka,Stanisław Antoni Szczuka,64,0,v4_olmo-mix-1124_llama,1710.0,1700,0,
historical_figure,Anne Beate Rosenkrantz,Anne Beate Rosenkrantz,1,0,v4_olmo-mix-1124_llama,1777.0,1700,0,
historical_figure,Ferenc Faludi,Ferenc Faludi,45,0,v4_olmo-mix-1124_llama,1779.0,1700,0,
historical_figure,Johannes Diodato,Johannes Diodato,875,0,v4_olmo-mix-1124_llama,1725.0,1700,0,
historical_figure,Stanisław Poniatowski,Stanisław Poniatowski,1086,0,v4_olmo-mix-1124_llama,1762.0,1700,0,
historical_figure,Ahmed Shahe Durrani,Ahmed Shahe Durrani,23,0,v4_olmo-mix-1124_llama,1772.0,1700,0,
historical_figure,Vasili Bazhenov,Vasili Bazhenov,222,0,v4_olmo-mix-1124_llama,1799.0,1700,0,
